brand,domain_authority,referring_domains,organic_keywords,organic_traffic_est,total_mentions,primary_mentions,mention_rate,mean_cosine_sim
Scorpion,88,12400,28400,16600,94,86,0.2507,56.81
Refine Labs,76,921,391,770,52,42,0.1387,55.62
Wonderist Agency,75,1500,1500,1100,37,30,0.0987,56.32
Directive Consulting,88,4100,27100,10600,45,33,0.12,62.36
KickStart Dental Marketing,50,380,370,61,27,15,0.072,56.14
Firegang Dental Marketing,54,435,769,914,23,13,0.0613,43.79
Location3,73,1000,1500,693,45,35,0.12,62.18
Pain-Free Dental Marketing,54,381,775,163,21,15,0.056,60.1
SOCi,85,1400,21900,34000,45,31,0.12,53.35
SmartBug Media,86,4100,34100,4100,32,18,0.0853,58.58
Cardinal Digital Marketing,78,2500,10100,2700,20,15,0.0533,59.37
Powered by Search,83,2400,7200,1200,20,14,0.0533,67.15
BrandMuscle,77,1500,5200,1700,16,12,0.0427,47.5
NoGood,82,3800,44400,19000,17,10,0.0453,58.05
Great Dental Websites,64,1300,910,1400,12,5,0.032,53.38
