brand,total_mentions,chi2_stat,p_value,p_corrected,sig_stars,significant,dominant_persona,note
BrandMuscle,16,64.0,0.0,0.0,***,True,P4,
Scorpion,94,101.213,0.0,0.0,***,True,P4,
SOCi,45,160.667,0.0,0.0,***,True,P4,
Refine Labs,52,127.231,0.0,0.0,***,True,P1,
Powered by Search,20,80.0,0.0,0.0,***,True,P1,
Pain-Free Dental Marketing,21,84.0,0.0,0.0,***,True,P3,
NoGood,17,58.588,0.0,0.0,***,True,P1,
SmartBug Media,32,79.25,0.0,0.0,***,True,P2,
Location3,45,134.667,0.0,0.0,***,True,P4,
Great Dental Websites,12,48.0,0.0,0.0,***,True,P3,
Franchise Performance Group,35,130.286,0.0,0.0,***,True,P5,
Firegang Dental Marketing,23,92.0,0.0,0.0,***,True,P3,
Directive Consulting,45,94.667,0.0,0.0,***,True,P1,
Curious Jane,37,91.243,0.0,0.0,***,True,P5,
KickStart Dental Marketing,27,108.0,0.0,0.0,***,True,P3,
Wonderist Agency,37,138.27,0.0,0.0,***,True,P3,
Cardinal Digital Marketing,20,29.5,1e-05,9e-05,***,True,P3,
Franchise FastLane,3,,,,,False,P5,Too few mentions for reliable test (n<5)
